Title,"Release Date","IMDb Url",Format,Distributor,"Added Date"
"The Butterfly Effect 2",2006,https://www.imdb.com/title/tt0457297/?ref_=ref_ext_clz,DVD,"New Line Cinema","Mar 29, 2026"
"The Cable Guy",1996,https://www.imdb.com/title/tt0115798/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"The Campaign",2012,https://www.imdb.com/title/tt1790886/?ref_=ref_ext_clz,DVD,,"Mar 15, 2026"
Carrie,2013,https://www.imdb.com/title/tt1939659/?ref_=ref_ext_clz,Blu-ray,"MGM - Metro Goldwyn Mayer","Mar 29, 2026"
"Casino Royale",2006,https://www.imdb.com/title/tt0381061/?ref_=ref_ext_clz,DVD,Sony,"Mar 15, 2026"
Casshern,2004,https://www.imdb.com/title/tt0405821/?ref_=ref_ext_clz,DVD,"Momentum Pictures","Mar 29, 2026"
"Castle: Season 1-8",2009,https://www.imdb.com/title/tt1219024/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"The Cat in the Hat",2003,https://www.imdb.com/title/tt0312528/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Chalet Girl",2011,https://www.imdb.com/title/tt1487118/?ref_=ref_ext_clz,DVD,,"Mar 16, 2026"
"The Change-Up",2011,https://www.imdb.com/title/tt1488555/?ref_=ref_ext_clz,DVD,,"Mar 12, 2026"
"Charlie St. Cloud",2010,https://www.imdb.com/title/tt1438254/?ref_=ref_ext_clz,DVD,Universal,"Mar 30, 2026"
"Chicago Fire: Season 1",2012,https://www.imdb.com/title/tt2261391/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"Children of Men",2006,https://www.imdb.com/title/tt0206634/?ref_=ref_ext_clz,DVD,Universal,"Mar 05, 2026"
"Chitty Chitty Bang Bang",1968,https://www.imdb.com/title/tt0062803/?ref_=ref_ext_clz,DVD,"MGM Home Entertainment","Mar 05, 2026"
Chopper,2000,https://www.imdb.com/title/tt0221073/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"Christmas with the Kranks",2004,https://www.imdb.com/title/tt0388419/?ref_=ref_ext_clz,DVD,,"Mar 12, 2026"
"The Chronicles of Narnia: Prince Caspian",2008,https://www.imdb.com/title/tt0499448/?ref_=ref_ext_clz,DVD,Disney,"Mar 29, 2026"
"A Cinderella Story",2004,https://www.imdb.com/title/tt0356470/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"City Rats",2009,https://www.imdb.com/title/tt1090646/?ref_=ref_ext_clz,DVD,"Revolver Entertainment","Mar 30, 2026"
"Clarkson Supercar Showdown",2007,https://www.imdb.com/title/tt1140858/?ref_=ref_ext_clz,DVD,"2 Entertain Video","Mar 30, 2026"
"Clarkson's Motorsport Mayhem",1995,https://www.imdb.com/title/tt1139579/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Clarkson: Duel",2009,https://www.imdb.com/title/tt1549577/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Clarkson: Heaven and Hell",2005,https://www.imdb.com/title/tt0940674/?ref_=ref_ext_clz,DVD,"2 Entertain Video","Mar 30, 2026"
"Clarkson: Hot Metal",2004,https://www.imdb.com/title/tt0940675/?ref_=ref_ext_clz,DVD,"2 Entertain Video","Mar 30, 2026"
"Clarkson: Powered Up",2011,https://www.imdb.com/title/tt2111283/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Clarkson: Shoot-Out",2003,https://www.imdb.com/title/tt0940676/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Clarkson: The Italian Job",2010,https://www.imdb.com/title/tt1801042/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
"Clarkson: Thriller",2008,https://www.imdb.com/title/tt1321817/?ref_=ref_ext_clz,DVD,,"Mar 30, 2026"
Click,2006,https://www.imdb.com/title/tt0389860/?ref_=ref_ext_clz,DVD,Sony,"Mar 29, 2026"
"The Closer: Season 1",2005,https://www.imdb.com/title/tt0458253/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Cloud Atlas",2012,https://www.imdb.com/title/tt1371111/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 05, 2026"
Cloverfield,2008,https://www.imdb.com/title/tt1060277/?ref_=ref_ext_clz,DVD,"Paramount Pictures","Mar 29, 2026"
"Coach Carter",2005,https://www.imdb.com/title/tt0393162/?ref_=ref_ext_clz,DVD,"Paramount Pictures","Mar 29, 2026"
"Cocaine Bear",2023,https://www.imdb.com/title/tt14209916/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
Commando,1985,https://www.imdb.com/title/tt0088944/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"The Complete Matrix Trilogy: The Matrix / The Matrix Reloaded / The Matrix Revolutions",1999,,DVD,,"Mar 29, 2026"
"The Complete Mrs. Brown's Boxset",2011,https://www.imdb.com/title/tt1819022/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
Constantine,2005,https://www.imdb.com/title/tt0360486/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 15, 2026"
Contraband,2012,https://www.imdb.com/title/tt1524137/?ref_=ref_ext_clz,DVD,Universal,"Mar 05, 2026"
"Cool Runnings",1993,https://www.imdb.com/title/tt0106611/?ref_=ref_ext_clz,DVD,"Buena Vista Home Entertainment","Mar 30, 2026"
"The Crown: Season 1",2016,https://www.imdb.com/title/tt4786824/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"CSI: NY: Season 3",2006,https://www.imdb.com/title/tt0395843/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"Curb Your Enthusiasm: Season 1",2000,https://www.imdb.com/title/tt0264235/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"Daddy's Home",2015,https://www.imdb.com/title/tt1528854/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"The Damned United",2009,https://www.imdb.com/title/tt1226271/?ref_=ref_ext_clz,DVD,Sony,"Mar 29, 2026"
"The Damned United",2009,https://www.imdb.com/title/tt1226271/?ref_=ref_ext_clz,DVD,Sony,"Mar 29, 2026"
"The Damned United",2009,https://www.imdb.com/title/tt1226271/?ref_=ref_ext_clz,DVD,Sony,"Mar 30, 2026"
"The Dark Crystal / Labyrinth",1982,,DVD,,"Mar 29, 2026"
"The Dark Knight",2008,https://www.imdb.com/title/tt0468569/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"The Dark Knight Rises",2012,https://www.imdb.com/title/tt1345836/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"Dark Shadows",2012,https://www.imdb.com/title/tt1077368/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 05, 2026"
